price,living_area,number_of_rooms,new_production,monthly_fee,build_year,elevator,city_area
2.585,41,2.0,0.0,2803.0,1945.0,1.0,1
1.02,66,2.0,0.0,5188.0,1993.0,1.0,0
3.63,79,3.0,0.0,2062.0,,0.0,1
1.51,67,2.0,0.0,3825.0,1967.0,0.0,1
1.6,31,1.0,0.0,2177.0,1961.0,0.0,1
0.325,74,3.0,0.0,4778.0,1965.0,0.0,0
4.4,70,3.0,0.0,4201.0,1883.0,1.0,1
0.52,92,3.0,0.0,5231.0,1992.0,1.0,0
2.12,98,4.0,0.0,4996.0,,0.0,0
1.582,72,2.0,0.0,2734.0,1985.0,1.0,1
0.47,34,1.0,0.0,2434.0,1969.0,0.0,0
0.565,24,1.0,0.0,1639.0,1960.0,0.0,0
1.6,118,5.0,1.0,4787.0,,0.0,0
3.4,60,2.0,0.0,1951.0,1962.0,1.0,1
1.5,87,5.0,0.0,4252.0,1961.0,0.0,1
1.31,83,3.0,0.0,4109.0,1979.0,0.0,1
0.56,34,1.0,0.0,1918.0,1938.0,0.0,1
2.2600000000000002,83,3.0,0.0,4593.0,2012.0,1.0,1
1.44,59,2.0,1.0,3011.0,,1.0,0
1.85,83,3.0,0.0,4963.0,1971.0,0.0,1
1.375,83,3.0,0.0,3537.0,1961.0,0.0,0
0.45,91,4.0,0.0,4966.0,,0.0,1
2.8,74,4.0,0.0,4123.0,,0.0,1
0.895,55,2.0,0.0,2387.0,1960.0,0.0,0
1.15,69,2.0,0.0,6089.0,1978.0,1.0,1
2.52,66,2.0,0.0,3639.0,1974.0,1.0,1
2.52,96,3.0,0.0,4689.0,1915.0,0.0,1
2.705,58,2.0,0.0,2498.0,1932.0,0.0,1
0.673,52,2.0,0.0,3424.0,1975.0,0.0,1
1.1,83,3.0,0.0,3403.0,1965.0,0.0,0
3.74,61,2.0,0.0,2030.0,1977.0,1.0,1
1.125,37,2.0,1.0,2272.0,2015.0,1.0,1
1.4,56,2.0,0.0,3216.0,1957.0,1.0,1
0.844,58,2.0,0.0,2669.0,1972.0,0.0,1
13.3,165,5.0,0.0,5279.0,1923.0,1.0,1
0.9,97,4.0,0.0,6131.0,1985.0,0.0,1
3.545,84,4.0,1.0,5164.0,,1.0,1
0.83,64,3.0,0.0,4051.0,1955.0,0.0,0
0.73,63,2.0,0.0,2632.0,1971.0,0.0,0
2.5,44,2.0,0.0,3397.0,2015.0,1.0,1
1.95,106,4.0,0.0,6983.0,1985.0,0.0,1
3.24,49,2.0,0.0,3093.0,2012.0,1.0,1
3.775,74,3.0,0.0,3334.0,1952.0,0.0,1
2.87,85,3.0,0.0,3973.0,1971.0,0.0,1
2.75,27,1.0,0.0,1404.0,1933.0,1.0,1
0.25,62,2.0,0.0,3834.0,1958.0,0.0,0
3.1,94,4.0,0.0,5094.0,2011.0,1.0,1
2.23,37,1.0,0.0,1666.0,1934.0,0.0,1
1.395,36,1.0,0.0,2783.0,1939.0,0.0,1
2.86,34,2.0,0.0,2365.0,1916.0,0.0,1
2.145,55,2.0,1.0,2628.0,,1.0,1
2.11,77,3.0,0.0,3833.0,1972.0,0.0,1
2.62,96,4.0,0.0,6034.0,2006.0,1.0,0
1.995,26,1.0,0.0,1882.0,1958.0,0.0,1
1.6600000000000001,87,3.0,0.0,6159.0,1987.0,0.0,1
0.43,66,3.0,0.0,5522.0,1986.0,1.0,1
1.31,25,1.0,0.0,1470.0,2014.0,1.0,1
1.85,29,1.0,0.0,1844.0,1970.0,1.0,1
